world_timestamp,world_index,fixation_id,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf
18752.3949,0,0,18751.6206185,1084.1005000002042,1.7772040978144201,-0.3818248212337494,1.3732216358184814,-0.3818248212337494,1.3732216358184814,False
18752.712598000002,1,0,18751.6206185,1084.1005000002042,1.7772040978144201,-0.3938644826412201,1.4265010356903076,-0.3938644826412201,1.4265010356903076,False
18752.712598000002,1,1,18752.721521,1089.8490000035963,1.8958862876941192,-0.3683375418186188,1.4041887521743774,-0.3683375418186188,1.4041887521743774,False
18752.832488,2,1,18752.721521,1089.8490000035963,1.8958862876941192,-0.36130067706108093,1.4155298471450806,-0.36130067706108093,1.4155298471450806,False
18752.951538,3,1,18752.721521,1089.8490000035963,1.8958862876941192,-0.38127976655960083,1.4577735662460327,-0.38127976655960083,1.4577735662460327,False
18753.050252,4,1,18752.721521,1089.8490000035963,1.8958862876941192,-0.37566184997558594,1.4500356912612915,-0.37566184997558594,1.4500356912612915,False
18753.133716,5,1,18752.721521,1089.8490000035963,1.8958862876941192,-0.37462323904037476,1.4556739330291748,-0.37462323904037476,1.4556739330291748,False
18753.207318,6,1,18752.721521,1089.8490000035963,1.8958862876941192,-0.3778300881385803,1.419163465499878,-0.3778300881385803,1.419163465499878,False
18753.26571,7,1,18752.721521,1089.8490000035963,1.8958862876941192,-0.3809835910797119,1.3730486631393433,-0.3809835910797119,1.3730486631393433,False
18753.35005,8,1,18752.721521,1089.8490000035963,1.8958862876941192,-0.3786214292049408,1.3380290269851685,-0.3786214292049408,1.3380290269851685,False
18753.415122,9,1,18752.721521,1089.8490000035963,1.8958862876941192,-0.48684582114219666,1.4139326810836792,-0.48684582114219666,1.4139326810836792,False
18753.477479,10,1,18752.721521,1089.8490000035963,1.8958862876941192,-0.395859956741333,1.343902349472046,-0.395859956741333,1.343902349472046,False
18753.544710000002,11,1,18752.721521,1089.8490000035963,1.8958862876941192,-0.4696510434150696,1.3964016437530518,-0.4696510434150696,1.3964016437530518,False
18753.601583,12,1,18752.721521,1089.8490000035963,1.8958862876941192,-0.3902672231197357,1.3239572048187256,-0.3902672231197357,1.3239572048187256,False
18753.661159,13,1,18752.721521,1089.8490000035963,1.8958862876941192,-0.39906781911849976,1.3218371868133545,-0.39906781911849976,1.3218371868133545,False
18753.729135,14,1,18752.721521,1089.8490000035963,1.8958862876941192,-0.4106801450252533,1.3442038297653198,-0.4106801450252533,1.3442038297653198,False
18753.807512,15,1,18752.721521,1089.8490000035963,1.8958862876941192,-0.40717774629592896,1.3687163591384888,-0.40717774629592896,1.3687163591384888,False
18753.807512,15,2,18753.831015000003,1086.162499996135,2.4821133942623295,-0.40549877285957336,1.3700342178344727,-0.40549877285957336,1.3700342178344727,False
18753.875044,16,2,18753.831015000003,1086.162499996135,2.4821133942623295,-0.4183028042316437,1.3983900547027588,-0.4183028042316437,1.3983900547027588,False
18753.940329,17,2,18753.831015000003,1086.162499996135,2.4821133942623295,-0.4181072413921356,1.409230351448059,-0.4181072413921356,1.409230351448059,False
18753.998742,18,2,18753.831015000003,1086.162499996135,2.4821133942623295,0.028559159487485886,1.2063310146331787,0.028559159487485886,1.2063310146331787,False
18754.052904,19,2,18753.831015000003,1086.162499996135,2.4821133942623295,-0.4098411202430725,1.3940303325653076,-0.4098411202430725,1.3940303325653076,False
18754.105957,20,2,18753.831015000003,1086.162499996135,2.4821133942623295,-0.4177633225917816,1.393891453742981,-0.4177633225917816,1.393891453742981,False
18754.165689,21,2,18753.831015000003,1086.162499996135,2.4821133942623295,-0.4213900566101074,1.3700333833694458,-0.4213900566101074,1.3700333833694458,False
18754.23238,22,2,18753.831015000003,1086.162499996135,2.4821133942623295,-0.535783052444458,1.481742024421692,-0.535783052444458,1.481742024421692,False
18754.306086,23,2,18753.831015000003,1086.162499996135,2.4821133942623295,-0.41500353813171387,1.3809691667556763,-0.41500353813171387,1.3809691667556763,False
18754.369832,24,2,18753.831015000003,1086.162499996135,2.4821133942623295,-0.40253746509552,1.3802522420883179,-0.40253746509552,1.3802522420883179,False
18754.425417,25,2,18753.831015000003,1086.162499996135,2.4821133942623295,-0.3966369330883026,1.3914334774017334,-0.3966369330883026,1.3914334774017334,False
18754.479519,26,2,18753.831015000003,1086.162499996135,2.4821133942623295,-0.380839079618454,1.4086220264434814,-0.380839079618454,1.4086220264434814,False
18754.544152,27,2,18753.831015000003,1086.162499996135,2.4821133942623295,-0.3583185374736786,1.413379430770874,-0.3583185374736786,1.413379430770874,False
18754.607675,28,2,18753.831015000003,1086.162499996135,2.4821133942623295,-0.35147425532341003,1.4227803945541382,-0.35147425532341003,1.4227803945541382,False
18754.660252,29,2,18753.831015000003,1086.162499996135,2.4821133942623295,-0.34903064370155334,1.4179209470748901,-0.34903064370155334,1.4179209470748901,False
18754.722078,30,2,18753.831015000003,1086.162499996135,2.4821133942623295,-0.3462165892124176,1.4012967348098755,-0.3462165892124176,1.4012967348098755,False
18754.771256,31,2,18753.831015000003,1086.162499996135,2.4821133942623295,-0.35129037499427795,1.3981423377990723,-0.35129037499427795,1.3981423377990723,False
18754.832892,32,2,18753.831015000003,1086.162499996135,2.4821133942623295,-0.35789215564727783,1.3937793970108032,-0.35789215564727783,1.3937793970108032,False
18754.906236,33,2,18753.831015000003,1086.162499996135,2.4821133942623295,-0.3747260868549347,1.3665093183517456,-0.3747260868549347,1.3665093183517456,False
