world_timestamp,world_index,gaze_timestamp,x_norm,y_norm,x_scaled,y_scaled,on_surf,confidence
18752.3949,0,18751.6206185,-0.35583382844924927,1.4033809900283813,-0.35583382844924927,1.4033809900283813,False,0.9405938386917114
18752.3949,0,18751.636628,-0.3646913468837738,1.3954894542694092,-0.3646913468837738,1.3954894542694092,False,0.9434978067874908
18752.3949,0,18751.6556165,-0.36535704135894775,1.3929626941680908,-0.36535704135894775,1.3929626941680908,False,0.9666067957878113
18752.3949,0,18751.675919,-0.3770749568939209,1.3938426971435547,-0.3770749568939209,1.3938426971435547,False,0.9335581362247467
18752.3949,0,18751.690869,-0.3815225064754486,1.3952940702438354,-0.3815225064754486,1.3952940702438354,False,0.8920412957668304
18752.3949,0,18751.7044695,-0.3871809244155884,1.3967558145523071,-0.3871809244155884,1.3967558145523071,False,0.9584831595420837
18752.3949,0,18751.731477,-0.3912957012653351,1.3953806161880493,-0.3912957012653351,1.3953806161880493,False,1.0
18752.3949,0,18751.757524499997,-0.4044989347457886,1.3830175399780273,-0.4044989347457886,1.3830175399780273,False,0.9737330377101898
18752.3949,0,18751.7728615,-0.4087485671043396,1.3721718788146973,-0.4087485671043396,1.3721718788146973,False,0.9569742977619171
18752.3949,0,18751.78821,-0.41518640518188477,1.3722437620162964,-0.41518640518188477,1.3722437620162964,False,0.9832412600517273
18752.3949,0,18751.803184,-0.41405320167541504,1.3741594552993774,-0.41405320167541504,1.3741594552993774,False,1.0
18752.3949,0,18751.8150885,-0.4150736331939697,1.378714680671692,-0.4150736331939697,1.378714680671692,False,0.972110241651535
18752.3949,0,18751.834982,-0.4181695282459259,1.3793349266052246,-0.4181695282459259,1.3793349266052246,False,0.9555613696575165
18752.3949,0,18751.851742500003,-0.4207933247089386,1.3795474767684937,-0.4207933247089386,1.3795474767684937,False,0.9561850428581238
18752.3949,0,18751.87637,-0.4163501560688019,1.364284873008728,-0.4163501560688019,1.364284873008728,False,0.906770646572113
18752.3949,0,18751.9012745,-0.41334858536720276,1.3565328121185303,-0.41334858536720276,1.3565328121185303,False,0.790823221206665
18752.3949,0,18751.924667,-0.40912020206451416,1.3585562705993652,-0.40912020206451416,1.3585562705993652,False,0.8341228365898132
18752.3949,0,18751.945575,-0.4100978970527649,1.3693995475769043,-0.4100978970527649,1.3693995475769043,False,0.9666191339492798
18752.3949,0,18751.95811,-0.40494585037231445,1.3647745847702026,-0.40494585037231445,1.3647745847702026,False,0.9142788052558899
18752.3949,0,18751.972015,-0.3984093964099884,1.3680235147476196,-0.3984093964099884,1.3680235147476196,False,0.8784922063350677
18752.3949,0,18751.985104500003,-0.3983474671840668,1.3650072813034058,-0.3983474671840668,1.3650072813034058,False,0.9308325350284576
18752.3949,0,18751.996361,-0.39553847908973694,1.372642993927002,-0.39553847908973694,1.372642993927002,False,1.0
18752.3949,0,18752.006273500003,-0.39602091908454895,1.3826969861984253,-0.39602091908454895,1.3826969861984253,False,1.0
18752.3949,0,18752.015415,-0.39229145646095276,1.3784414529800415,-0.39229145646095276,1.3784414529800415,False,0.8969763815402985
18752.3949,0,18752.025550500002,-0.39141207933425903,1.3698917627334595,-0.39141207933425903,1.3698917627334595,False,0.8969763815402985
18752.3949,0,18752.0342795,-0.3885011076927185,1.376531720161438,-0.3885011076927185,1.376531720161438,False,0.9024712145328522
18752.3949,0,18752.046763,-0.38769227266311646,1.370513916015625,-0.38769227266311646,1.370513916015625,False,0.9752399325370789
18752.3949,0,18752.0592765,-0.38598552346229553,1.3697458505630493,-0.38598552346229553,1.3697458505630493,False,0.9752399325370789
18752.3949,0,18752.070309000002,-0.3814529776573181,1.3815287351608276,-0.3814529776573181,1.3815287351608276,False,0.9962528049945831
18752.3949,0,18752.0801475,-0.38418474793434143,1.386300802230835,-0.38418474793434143,1.386300802230835,False,0.9670324623584747
18752.3949,0,18752.090048500002,-0.38239583373069763,1.376483678817749,-0.38239583373069763,1.376483678817749,False,0.9409728348255157
18752.3949,0,18752.099964,-0.38316771388053894,1.371465802192688,-0.38316771388053894,1.371465802192688,False,0.8437904119491577
18752.3949,0,18752.111554000003,-0.3796313405036926,1.3654273748397827,-0.3796313405036926,1.3654273748397827,False,0.8990703821182251
18752.3949,0,18752.122114,-0.3745976984500885,1.3612126111984253,-0.3745976984500885,1.3612126111984253,False,0.9661823511123657
18752.3949,0,18752.132980000002,-0.3735591173171997,1.359000563621521,-0.3735591173171997,1.359000563621521,False,0.9727666974067688
18752.3949,0,18752.142937999997,-0.3743342459201813,1.3617944717407227,-0.3743342459201813,1.3617944717407227,False,0.9727666974067688
18752.3949,0,18752.152464,-0.37258365750312805,1.3543542623519897,-0.37258365750312805,1.3543542623519897,False,0.9727666974067688
18752.3949,0,18752.1616775,-0.37091416120529175,1.3578531742095947,-0.37091416120529175,1.3578531742095947,False,0.9832899868488312
18752.3949,0,18752.174364500002,-0.36387649178504944,1.355716347694397,-0.36387649178504944,1.355716347694397,False,0.9606476128101349
18752.3949,0,18752.190502,-0.36338096857070923,1.3540526628494263,-0.36338096857070923,1.3540526628494263,False,0.9489665627479553
18752.3949,0,18752.2022975,-0.36119186878204346,1.3550180196762085,-0.36119186878204346,1.3550180196762085,False,0.9113347232341766
18752.3949,0,18752.2127215,-0.35973405838012695,1.351542592048645,-0.35973405838012695,1.351542592048645,False,0.9230157732963562
18752.3949,0,18752.222034500002,-0.3579663038253784,1.3541429042816162,-0.3579663038253784,1.3541429042816162,False,0.972571462392807
